"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10319.055,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10766.426,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",13454.124,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",13930.769,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",11866.052,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11855.899,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10501.547,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10467.831,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",6886.758,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",7074.887,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",12827.284,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9769.05,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10025.469,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9918.34,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",9897.165,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10779.232,
